水利種別(消火栓),水利種別(消火栓)名,市町村(消火栓)名,担当区内通番(消火栓),設置場所-1(消火栓),配管径,Ｘ座標(栓)(座標),Ｙ座標(栓)(座標),緯度(栓)(座標),経度(栓)(座標),備考
01,消火栓,彦根市,1499,彦根市原町　 ,0,2491900,-8244471,0351523297,1361625995,
01,消火栓,彦根市,1500,彦根市原町　 ,100,2492302,-8255883,0351519593,1361626142,
01,消火栓,彦根市,1501,彦根市原町　 ,250,2492247,-8267040,0351515972,1361626108,
01,消火栓,彦根市,1502,彦根市高宮町　 ,100,2382189,-8414273,0351428284,1361542408,
01,消火栓,彦根市,1503,彦根市大堀町　 ,100,2390364,-8408594,0351430120,1361545648,
01,消火栓,彦根市,1504,彦根市原町　 ,250,2515571,-8274924,0351513392,1361635328,
01,消火栓,彦根市,1505,彦根市原町　 ,250,2507907,-8267070,0351515948,1361632304,
01,消火栓,彦根市,1506,彦根市原町　 ,100,2514627,-8258892,0351518596,1361634972,
01,消火栓,彦根市,1507,彦根市原町　 ,150,2502340,-8261206,0351517856,1361630108,
01,消火栓,彦根市,1508,彦根市原町　 ,150,2508186,-8276752,0351512805,1361632404,
01,消火栓,彦根市,1509,彦根市原町　 ,150,2500824,-8272192,0351514292,1361629496,
01,消火栓,彦根市,1510,彦根市正法寺町　 ,150,2519851,-8374078,0351441208,1361636912,
01,消火栓,彦根市,1511,彦根市正法寺町　 ,150,2526370,-8366509,0351443659,1361639499,
01,消火栓,彦根市,1512,彦根市正法寺町　 ,150,2531764,-8371272,0351442108,1361641628,
01,消火栓,彦根市,1513,彦根市西今町　 ,75,2282660,-8407611,0351430530,1361503041,
01,消火栓,彦根市,1514,彦根市正法寺町　 ,200,2504891,-8360920,0351445492,1361631008,
01,消火栓,彦根市,1515,彦根市高宮町　 ,100,2322833,-8582365,0351333780,1361518756,
01,消火栓,彦根市,1516,彦根市高宮町　 ,75,2330586,-8588557,0351331764,1361521816,
01,消火栓,彦根市,1517,彦根市高宮町　 ,100,2331425,-8596319,0351329244,1361522140,
01,消火栓,彦根市,1518,彦根市高宮町　 ,100,2355976,-8447397,0351417556,1361532003,
